astraweave-render\src\advanced_post.rs,314,2
astraweave-render\src\animation.rs,418,13
astraweave-render\src\animation_extra_tests.rs,431,1
astraweave-render\src\camera.rs,308,12
astraweave-render\src\clustered.rs,187,4
astraweave-render\src\clustered_forward.rs,269,0
astraweave-render\src\clustered_megalights.rs,390,1
astraweave-render\src\culling.rs,369,7
astraweave-render\src\culling_node.rs,40,14
astraweave-render\src\debug_quad.rs,45,0
astraweave-render\src\decals.rs,146,7
astraweave-render\src\deferred.rs,307,6
astraweave-render\src\depth.rs,111,0
astraweave-render\src\effects.rs,227,0
astraweave-render\src\environment.rs,897,95
astraweave-render\src\gpu_memory.rs,187,10
astraweave-render\src\gpu_particles.rs,178,2
astraweave-render\src\graph.rs,234,14
astraweave-render\src\graph_adapter.rs,17,7
astraweave-render\src\ibl.rs,948,207
astraweave-render\src\instancing.rs,298,1
astraweave-render\src\lod_generator.rs,355,9
astraweave-render\src\material.rs,555,31
astraweave-render\src\material_extended.rs,358,0
astraweave-render\src\material_loader.rs,893,243
astraweave-render\src\mesh.rs,233,0
astraweave-render\src\mesh_registry.rs,162,3
astraweave-render\src\msaa.rs,148,2
astraweave-render\src\overlay.rs,176,5
astraweave-render\src\post.rs,107,0
astraweave-render\src\primitives.rs,241,7
astraweave-render\src\renderer.rs,3264,529
astraweave-render\src\renderer_tests.rs,1719,5
astraweave-render\src\residency.rs,131,8
astraweave-render\src\shadow_csm.rs,426,4
astraweave-render\src\terrain.rs,226,40
astraweave-render\src\terrain_material.rs,470,2
astraweave-render\src\texture.rs,511,112
astraweave-render\src\texture_streaming.rs,161,72
astraweave-render\src\transparency.rs,135,0
astraweave-render\src\types.rs,291,1
astraweave-render\src\vertex_compression.rs,168,2
astraweave-render\src\water.rs,226,8
